epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.5331,1.34467,1.53459,1.1969,0.9667,0.89125,0.93809,0.68457,1.21593,0.97456,1.26672,0.000664935,0.000664935,0.000664935
2,151.465,1.32922,0.87782,1.17563,0.9807,0.96082,0.98053,0.67981,1.19362,0.71208,1.32826,0.00130524,0.00130524,0.00130524
3,222.77,1.31543,0.79769,1.17005,0.98089,0.92908,0.95608,0.71039,1.18507,0.96022,1.30514,0.00191914,0.00191914,0.00191914
4,293.699,1.28262,0.73756,1.16409,0.98,0.91253,0.95199,0.70049,1.14909,1.01759,1.25757,0.0018812,0.0018812,0.0018812
5,364.45,1.26616,0.69807,1.15037,0.96366,0.87756,0.92868,0.68932,1.24185,1.09591,1.28009,0.0018416,0.0018416,0.0018416
6,435.182,1.25357,0.67801,1.13762,0.98319,0.96788,0.97385,0.71572,1.12421,0.84825,1.22359,0.001802,0.001802,0.001802
7,505.904,1.2383,0.653,1.13209,0.97856,0.96454,0.98243,0.74719,1.05346,0.65131,1.22085,0.0017624,0.0017624,0.0017624
8,576.603,1.22011,0.63506,1.12718,0.98503,0.93318,0.96331,0.71295,1.2003,0.95069,1.2842,0.0017228,0.0017228,0.0017228
9,647.338,1.20628,0.62348,1.11941,0.98307,0.9609,0.97754,0.73369,1.1259,0.7585,1.24333,0.0016832,0.0016832,0.0016832
10,718.006,1.20279,0.60739,1.12053,0.98262,0.93557,0.97525,0.74567,1.09382,0.78013,1.25059,0.0016436,0.0016436,0.0016436
11,788.65,1.18406,0.59119,1.11207,0.99221,0.90371,0.96223,0.72817,1.06367,0.93528,1.17905,0.001604,0.001604,0.001604
12,859.327,1.18359,0.5843,1.10358,0.98271,0.94059,0.97009,0.74423,1.03367,0.83368,1.16192,0.0015644,0.0015644,0.0015644
13,930.288,1.18007,0.57662,1.1067,0.98543,0.95937,0.97542,0.75263,1.03141,0.75546,1.18262,0.0015248,0.0015248,0.0015248
14,1001.13,1.1618,0.5596,1.10279,0.99003,0.9669,0.99065,0.7528,0.99069,0.52768,1.17597,0.0014852,0.0014852,0.0014852
15,1072.18,1.15771,0.55622,1.10655,0.99033,0.96853,0.97965,0.75168,1.02971,0.69378,1.19355,0.0014456,0.0014456,0.0014456
16,1142.96,1.14569,0.55038,1.08715,0.9868,0.9669,0.99203,0.78117,0.95216,0.56549,1.14466,0.001406,0.001406,0.001406
17,1213.74,1.13525,0.54702,1.08789,0.99231,0.9669,0.9898,0.762,0.99262,0.62294,1.15513,0.0013664,0.0013664,0.0013664
18,1284.62,1.14015,0.53696,1.08542,0.98927,0.95981,0.98505,0.76502,0.99788,0.66951,1.17797,0.0013268,0.0013268,0.0013268
19,1355.41,1.12539,0.53285,1.07943,0.9855,0.99054,0.99413,0.76243,1.02016,0.47597,1.19085,0.0012872,0.0012872,0.0012872
20,1426.35,1.12696,0.52954,1.08445,0.98771,0.9669,0.98774,0.76679,0.98932,0.65139,1.16329,0.0012476,0.0012476,0.0012476
21,1497.27,1.11904,0.52172,1.07217,0.99299,0.96454,0.98644,0.7746,0.96828,0.64146,1.13509,0.001208,0.001208,0.001208
22,1568.02,1.10247,0.51221,1.06623,0.99272,0.96732,0.99242,0.76968,0.98533,0.55689,1.1728,0.0011684,0.0011684,0.0011684
23,1638.9,1.10241,0.50779,1.06594,0.98791,0.95508,0.97897,0.76204,1.00246,0.78701,1.18267,0.0011288,0.0011288,0.0011288
24,1709.87,1.10007,0.50851,1.06126,0.99143,0.9669,0.98472,0.76443,0.99714,0.67367,1.17322,0.0010892,0.0010892,0.0010892
25,1780.91,1.0857,0.49227,1.05975,0.99272,0.9666,0.98425,0.77475,0.99649,0.71304,1.15798,0.0010496,0.0010496,0.0010496
26,1851.65,1.08299,0.49182,1.06188,0.99237,0.96217,0.9849,0.76432,0.97055,0.64554,1.13364,0.00101,0.00101,0.00101
27,1922.82,1.07717,0.47889,1.058,0.97369,0.96454,0.98794,0.78417,0.95993,0.64099,1.13061,0.0009704,0.0009704,0.0009704
28,1993.94,1.07461,0.4798,1.05248,0.99277,0.97374,0.99305,0.78074,0.94984,0.54785,1.11088,0.0009308,0.0009308,0.0009308
29,2065.3,1.06962,0.47441,1.04965,0.98921,0.95981,0.98839,0.79073,0.90802,0.63701,1.08482,0.0008912,0.0008912,0.0008912
30,2136.25,1.05789,0.46956,1.04715,0.99278,0.97571,0.99277,0.79266,0.88964,0.47983,1.06572,0.0008516,0.0008516,0.0008516
31,2207.13,1.05276,0.46549,1.04648,0.9796,0.96217,0.98701,0.78519,0.95724,0.62723,1.13009,0.000812,0.000812,0.000812
32,2278.15,1.04575,0.46126,1.03959,0.99222,0.974,0.99317,0.79667,0.88075,0.49252,1.07085,0.0007724,0.0007724,0.0007724
33,2349.04,1.03492,0.45356,1.03587,0.98569,0.97714,0.99209,0.79342,0.9092,0.53742,1.09597,0.0007328,0.0007328,0.0007328
34,2420.16,1.03222,0.44602,1.038,0.98557,0.96874,0.98452,0.78784,0.93449,0.75616,1.10735,0.0006932,0.0006932,0.0006932
35,2491.2,1.02489,0.45002,1.03345,0.99275,0.97056,0.99069,0.77432,0.92626,0.53071,1.09107,0.0006536,0.0006536,0.0006536
36,2562.18,1.02675,0.44377,1.03671,0.99282,0.98056,0.99393,0.79509,0.90869,0.48249,1.08943,0.000614,0.000614,0.000614
37,2633.3,1.01523,0.43627,1.03042,0.98587,0.98987,0.99383,0.78665,0.90013,0.47821,1.07499,0.0005744,0.0005744,0.0005744
38,2704.19,1.01129,0.43441,1.03377,0.9903,0.96548,0.98766,0.78167,0.93604,0.66469,1.12068,0.0005348,0.0005348,0.0005348
39,2775.1,1.00032,0.42914,1.02898,0.98811,0.98254,0.99312,0.79189,0.91309,0.46176,1.09501,0.0004952,0.0004952,0.0004952
40,2845.99,0.99707,0.42723,1.023,0.98573,0.97988,0.99356,0.79516,0.90484,0.55782,1.08245,0.0004556,0.0004556,0.0004556
41,2917.74,0.96944,0.38044,1.03422,0.98288,0.98582,0.99207,0.79379,0.8759,0.51461,1.05601,0.000416,0.000416,0.000416
42,2988.52,0.95214,0.3725,1.02629,0.98487,0.96927,0.98855,0.79438,0.91888,0.58004,1.08631,0.0003764,0.0003764,0.0003764
43,3059.41,0.94287,0.36419,1.01814,0.98808,0.98345,0.99329,0.79907,0.87264,0.48167,1.05202,0.0003368,0.0003368,0.0003368
44,3130.28,0.93073,0.36052,1.01749,0.98089,0.97053,0.99161,0.78391,0.95552,0.58433,1.09666,0.0002972,0.0002972,0.0002972
45,3200.77,0.92334,0.35563,1.01626,0.9855,0.98582,0.99327,0.78487,0.92504,0.48592,1.09487,0.0002576,0.0002576,0.0002576
46,3271.45,0.91118,0.34976,1.00856,0.97875,0.9802,0.9935,0.78917,0.92747,0.51802,1.0844,0.000218,0.000218,0.000218
47,3342.07,0.89807,0.34189,1.00314,0.98202,0.98582,0.9931,0.79671,0.89098,0.49693,1.06494,0.0001784,0.0001784,0.0001784
48,3412.9,0.89062,0.34244,1.00002,0.98573,0.97957,0.99262,0.7912,0.90007,0.50193,1.06861,0.0001388,0.0001388,0.0001388
49,3483.37,0.88286,0.33776,0.99927,0.98576,0.98198,0.99237,0.79679,0.88365,0.4779,1.06128,9.92e-05,9.92e-05,9.92e-05
50,3554.29,0.87635,0.33365,0.99763,0.98811,0.98249,0.99334,0.79382,0.88828,0.45713,1.06298,5.96e-05,5.96e-05,5.96e-05
