epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2623,1.62635,4.66257,1.49076,0.02223,0.26104,0.03446,0.02064,1.21767,4.10517,1.07092,8.19892e-05,8.19892e-05,8.19892e-05
2,28.6459,1.35799,3.68818,1.21096,0.43439,0.11066,0.08121,0.04747,1.30272,3.41648,1.17866,0.000163686,0.000163686,0.000163686
3,40.9413,1.32938,3.11906,1.24526,0.40991,0.2586,0.21432,0.13985,1.18862,2.54432,1.18859,0.000243733,0.000243733,0.000243733
4,53.0376,1.30682,2.67611,1.27252,0.35976,0.41921,0.35045,0.23995,1.16734,2.12636,1.18973,0.000242575,0.000242575,0.000242575
5,65.2811,1.28251,2.34281,1.26146,0.49168,0.48853,0.50574,0.35072,1.14502,1.80894,1.16941,0.0002401,0.0002401,0.0002401
6,77.4123,1.23605,2.10073,1.23565,0.55413,0.58974,0.58843,0.39598,1.25542,1.6977,1.24531,0.000237625,0.000237625,0.000237625
7,89.4991,1.18474,1.91632,1.21414,0.6222,0.59611,0.67536,0.46467,1.17235,1.38626,1.20912,0.00023515,0.00023515,0.00023515
8,101.709,1.17572,1.78283,1.19949,0.63473,0.68615,0.74221,0.53083,1.06813,1.34519,1.14798,0.000232675,0.000232675,0.000232675
9,113.864,1.18701,1.67913,1.21054,0.70495,0.73202,0.77586,0.54627,1.11117,1.16947,1.193,0.0002302,0.0002302,0.0002302
10,126.163,1.15873,1.55704,1.20033,0.7339,0.75317,0.82675,0.58054,1.06334,1.05385,1.14587,0.000227725,0.000227725,0.000227725
11,138.327,1.11271,1.46873,1.1735,0.85235,0.77201,0.84119,0.5935,1.0577,1.03572,1.12859,0.00022525,0.00022525,0.00022525
12,150.359,1.1174,1.45936,1.17728,0.78535,0.75579,0.83777,0.58909,1.09399,1.00138,1.15554,0.000222775,0.000222775,0.000222775
13,162.524,1.09154,1.37882,1.16539,0.8411,0.7753,0.85392,0.61264,1.06857,0.95496,1.12487,0.0002203,0.0002203,0.0002203
14,174.586,1.11339,1.36586,1.16948,0.83211,0.79789,0.86343,0.60702,1.06955,0.93281,1.13649,0.000217825,0.000217825,0.000217825
15,186.633,1.08895,1.30836,1.15733,0.91286,0.77354,0.87074,0.63973,0.98327,0.88171,1.09313,0.00021535,0.00021535,0.00021535
16,198.779,1.06721,1.28305,1.1485,0.90592,0.78179,0.86803,0.62613,1.06027,0.87334,1.11488,0.000212875,0.000212875,0.000212875
17,210.906,1.07401,1.24873,1.14663,0.87267,0.81096,0.87449,0.64774,0.97319,0.81411,1.08703,0.0002104,0.0002104,0.0002104
18,223.05,1.07489,1.21764,1.14464,0.8791,0.80982,0.89266,0.64671,0.99637,0.83833,1.09042,0.000207925,0.000207925,0.000207925
19,235.204,1.02891,1.17537,1.12037,0.89724,0.80203,0.88207,0.64353,1.01292,0.80771,1.10133,0.00020545,0.00020545,0.00020545
20,247.348,1.03355,1.19009,1.13084,0.88008,0.80276,0.87521,0.65158,0.97476,0.81876,1.0707,0.000202975,0.000202975,0.000202975
21,259.632,1.02418,1.15854,1.12513,0.89675,0.79678,0.87291,0.64645,0.9877,0.79699,1.09114,0.0002005,0.0002005,0.0002005
22,271.721,1.0362,1.13355,1.12537,0.88844,0.80744,0.88824,0.61205,1.15662,0.83007,1.15859,0.000198025,0.000198025,0.000198025
23,283.799,1.01012,1.10989,1.11524,0.91171,0.78551,0.87203,0.6238,1.09392,0.80297,1.11926,0.00019555,0.00019555,0.00019555
24,295.963,1.01907,1.10453,1.1272,0.91355,0.80204,0.88572,0.64814,1.01305,0.79021,1.08411,0.000193075,0.000193075,0.000193075
25,308.056,0.99174,1.0673,1.10018,0.91355,0.82889,0.89628,0.67338,0.95459,0.73796,1.06843,0.0001906,0.0001906,0.0001906
26,320.284,1.00184,1.07606,1.10451,0.89695,0.83757,0.89862,0.67088,0.95786,0.72195,1.06627,0.000188125,0.000188125,0.000188125
27,332.588,1.01734,1.0808,1.12061,0.86016,0.82665,0.8949,0.65407,1.00134,0.76272,1.08021,0.00018565,0.00018565,0.00018565
28,344.765,0.98267,1.05932,1.09539,0.8432,0.85541,0.89421,0.66538,0.96738,0.75542,1.07084,0.000183175,0.000183175,0.000183175
29,356.965,0.98388,1.05387,1.10066,0.90474,0.82174,0.90733,0.67374,0.95649,0.71655,1.06884,0.0001807,0.0001807,0.0001807
30,369.005,0.98864,1.03784,1.10134,0.883,0.83051,0.89667,0.64601,1.04943,0.72574,1.10777,0.000178225,0.000178225,0.000178225
31,381.061,0.97798,1.01492,1.09527,0.93501,0.81235,0.89756,0.65934,0.97684,0.71618,1.07993,0.00017575,0.00017575,0.00017575
32,393.217,0.96886,1.01087,1.09034,0.85304,0.87312,0.90307,0.66699,0.9539,0.70838,1.0663,0.000173275,0.000173275,0.000173275
33,405.358,0.95393,0.97504,1.07518,0.90492,0.83228,0.90111,0.68071,0.93932,0.70082,1.0571,0.0001708,0.0001708,0.0001708
34,417.496,0.95712,0.98674,1.08667,0.89932,0.83455,0.89987,0.67076,0.97686,0.70397,1.07727,0.000168325,0.000168325,0.000168325
35,429.587,0.96041,0.96653,1.0857,0.90002,0.83495,0.90853,0.67898,0.95599,0.69786,1.0629,0.00016585,0.00016585,0.00016585
36,441.673,0.97135,0.9684,1.0913,0.8947,0.85062,0.90984,0.68032,0.93495,0.68942,1.04261,0.000163375,0.000163375,0.000163375
37,453.869,0.93905,0.94986,1.07086,0.88433,0.83353,0.90288,0.67644,0.94608,0.67867,1.05488,0.0001609,0.0001609,0.0001609
38,465.974,0.94986,0.9551,1.07798,0.89131,0.85317,0.90307,0.67929,0.94993,0.68026,1.05979,0.000158425,0.000158425,0.000158425
39,478.031,0.94075,0.93024,1.0695,0.91708,0.83831,0.90377,0.67665,0.94023,0.66731,1.05735,0.00015595,0.00015595,0.00015595
40,490.22,0.9423,0.92792,1.07457,0.90145,0.84688,0.90352,0.68402,0.91956,0.68037,1.04697,0.000153475,0.000153475,0.000153475
41,502.345,0.92878,0.9173,1.06264,0.91073,0.8385,0.90688,0.67887,0.94968,0.68671,1.05464,0.000151,0.000151,0.000151
